epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,501.578,2.35677,2.57769,1.09562,0.366,0.33115,0.29205,0.12009,2.17499,1.93864,1.04814,0.00055498,0.00055498,0.00055498
2,993.894,2.33129,1.93706,1.08695,0.41516,0.31289,0.3062,0.12723,2.21237,1.71489,1.05268,0.00108866,0.00108866,0.00108866
3,1479.79,2.27061,1.78935,1.07259,0.48732,0.35159,0.35576,0.14665,2.15433,1.58023,1.03475,0.00160033,0.00160033,0.00160033
4,1982.45,2.2595,1.74951,1.06617,0.47789,0.34859,0.35589,0.14767,2.10372,1.62727,1.03031,0.00156798,0.00156798,0.00156798
5,2474.62,2.23532,1.70935,1.05547,0.50781,0.37613,0.39201,0.16223,2.05829,1.50306,1.01813,0.00153497,0.00153497,0.00153497
6,3394.45,2.20592,1.65216,1.04869,0.49736,0.36791,0.38293,0.16359,2.0718,1.56073,1.02756,0.00150197,0.00150197,0.00150197
7,3890.91,2.18814,1.63185,1.04855,0.49301,0.38048,0.38822,0.16045,2.08353,1.49147,1.02213,0.00146896,0.00146896,0.00146896
8,4379.58,2.15651,1.58505,1.04149,0.5139,0.37726,0.39127,0.16497,2.03186,1.51668,1.00968,0.00143595,0.00143595,0.00143595
9,4876.53,2.14372,1.57939,1.03499,0.53123,0.40069,0.42407,0.18482,1.99097,1.434,1.00572,0.00140295,0.00140295,0.00140295
10,5371.25,2.13226,1.55869,1.03095,0.52292,0.40285,0.42339,0.17922,2.00471,1.44001,1.00461,0.00136994,0.00136994,0.00136994
11,6333.74,2.12703,1.53704,1.02488,0.54859,0.40187,0.4339,0.18695,1.97416,1.3915,0.9981,0.00133693,0.00133693,0.00133693
12,6810.27,2.09641,1.50612,1.02089,0.53727,0.40223,0.43034,0.18449,1.99039,1.42542,1.00213,0.00130393,0.00130393,0.00130393
13,8592.82,2.08318,1.49654,1.01819,0.55284,0.42166,0.4443,0.19164,1.97881,1.38417,1.00701,0.00127092,0.00127092,0.00127092
14,9077.18,2.07903,1.48186,1.01786,0.55138,0.42275,0.45306,0.20323,1.93538,1.35822,0.99264,0.00123791,0.00123791,0.00123791
15,9564,2.08842,1.47849,1.01384,0.54982,0.42988,0.45559,0.19736,1.95429,1.34822,0.99759,0.00120491,0.00120491,0.00120491
16,11012.9,2.06374,1.46403,1.0136,0.56031,0.43325,0.46442,0.20402,1.92456,1.34896,0.98974,0.0011719,0.0011719,0.0011719
